How did you receive the form?,Drop Off Location for year 2024,Stake for year 2024,Time Spent Collecting Donations,# of Adult Volunteers for year 2024,# of Youth Volunteers for year 2024,Doors in Route for year 2024,Donation Bags Collected for the year 2024,Completed More Than One Route for year 2024,How many routes did you complete? for year 2024,Comment Sentiments for year 2024,Comments or Feedback for year 2024,COMBINED STAKES
In person,Bearspaw Chapel,Riverbend Stake,0 - 30 Minutes,7,7,78,599,No,1,Neutral,No Comments,Woodbend Ward
In person,Bearspaw Chapel,Riverbend Stake,0 - 30 Minutes,7,7,78,599,No,1,Neutral,No Comments,Woodbend Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,0,1,1,No,1,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,2,20,20,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,20,15,No,1,Neutral,No Comments,Forest Heights Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,144,25,Yes,2,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,0,230,21,No,1,Neutral,No Comments,Silver Berry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,0,75,7,No,1,Neutral,No Comments,Forest Heights Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,280,32,Yes,2,Negative,Route 2 included with route 1 numbers,Crawford Plains Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,3,21,23,No,1,Neutral,No Comments,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,3,3,45,15,No,1,Positive,Everything was good. Paper bags were better than plastic. ,Woodbend Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,4,172,18,No,1,Positive,"good participation from our route, smooth process",Woodbend Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,0,135,26,No,1,Negative,A lot of time spent delivering bags in the week about an hour,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,4,0,30,No,1,Neutral,No Comments,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,18,18,No,1,Neutral,No Comments,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,1,10,12,No,1,Neutral,No Comments,Londonderry Ward
via Email,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,3,36,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,4,117,30,No,1,Positive,Its fun and it helps,Silver Berry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,1,125,7,No,1,Negative,"Router seems to be declining, quite a few houses with no flyer/junk mail… should deliver to them anyway.",Forest Heights Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,1,12,20,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,0,236,16,No,1,Neutral,No Comments,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,3,2,50,8,No,1,Positive,Great experience. ,Woodbend Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,3,215,38,No,1,Neutral,No Comments,Griesbach Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,3,0,340,30,Yes,3,Neutral,No Comments,Crawford Plains Ward
In person,Bonnie Doon Stake Centre,YSA Stake,30 - 60 Minutes,3,0,66,15,No,1,Neutral,No Comments,Mill Creek YSA Ward
In person,Bonnie Doon Stake Centre,YSA Stake,30 - 60 Minutes,1,0,208,12,No,1,Neutral,No Comments,Whitemud Creek YSA Ward
In person,Bearspaw Chapel,Riverbend Stake,30 - 60 Minutes,2,0,174,23,No,1,Positive,It was a good experience ,Rutherford Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,0,100,12,No,1,Negative,"We're actually in the Strathcona Married Student Ward, but they was not an option from the drop down menu.",Forest Heights Ward
In person,Bonnie Doon Stake Centre,YSA Stake,30 - 60 Minutes,1,0,208,12,No,1,Neutral,No Comments,Whitemud Creek YSA Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,167,20,No,1,Positive,It was hype,Forest Heights Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,0,100,10,No,1,Positive,great experience ,Rabbit Hill Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,1,2,100,6,No,1,Neutral,No Comments,Woodbend Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,2,30,22,No,1,Neutral,No Comments,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,1,148,28,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,1,0,177,12,No,1,Negative,Not sure about # of routes,Namao Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,1,2,169,11,No,1,Neutral,No Comments,Rutherford Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,3,7,10,No,1,Neutral,No Comments,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,2+ Hours,2,0,40,15,No,1,Negative,It was better last year,Londonderry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,0,60,17,No,1,Neutral,No Comments,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,4,0,116,50,Yes,2,Positive,It was amazing! Glad were able to help,Crawford Plains Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,2,99,24,No,1,Neutral,No Comments,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,2,161,56,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,75,8,No,1,Positive,Loved the paper bags - easier to distribute and pick up. Consider leaving extra bags with local businesses in each pick up area for added promotion and awareness for residents (who may have a no flyer sign) to grab a bag. ,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,13,14,No,1,Positive,Yellow bags were better ,Londonderry Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,0,170,30,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,0,194,21,No,1,Negative,Most houses have a no soliciting sign ,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,3,15,18,No,1,Neutral,No Comments,Londonderry Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,4,3,109,21,No,1,Negative,"Hoping for more, was disappointed with donations but understands the strain on the economy presently ",Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,0,12,11,No,1,Positive,It was fun.,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,1,280,40,No,1,Positive,Brighter color bags will eb easier to spot,Rabbit Hill Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,1,3,150,12,No,1,Neutral,No Comments,Forest Heights Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,0,217,13,No,1,Neutral,No Comments,Namao Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,0,10,12,No,1,Neutral,No Comments,Clareview Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,2,191,30,No,1,Positive,Good,Rabbit Hill Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,1,4,115,4,No,1,Positive,Love it! ,Connors Hill Ward
via Email,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,3,180,19,Yes,2,Neutral,No Comments,Ellerslie Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,1,1,156,50,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,1,1,200,35,No,1,Positive,Half of our route filled my car lol,Namao Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,0,20,35,No,1,Positive,Not many people hell jn donations ,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,165,165,18,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,0,1,10,No,1,Negative,I dont think I got the enough as last year,Lee Ridge Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,2,0,170,32,No,1,Neutral,No Comments,Namao Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,1,2,60,20,No,1,Positive,This was fun!,Griesbach Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,1,2,140,12,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,134,55,No,1,Positive,Love it,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,4,128,7,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,1,1,156,50,No,1,Positive,Pretty easy ,Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,2,2,100,12,No,1,Neutral,No Comments,Woodbend Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,125,20,No,1,Neutral,No Comments,Clareview Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,3,0,195,40,No,1,Neutral,No Comments,Connors Hill Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,0,2,177,19,No,1,Neutral,No Comments,Londonderry Ward
In person,Edmonton North Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,1,1,200,30,No,1,Positive,Paper bags were a good idea,Forest Heights Ward
In person,Londonberry Chapel,Bonnie Doon Stake,1 Hour - 1.5 Hours,1,1,177,51,No,1,Positive,Apartment building collected bags by themselves . They want that bags should be dropped off for them as well,Londonderry Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,1,0,4,1,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,140,21,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,2,100,40,No,1,Positive,Good,Greenfield Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,2,0,80,6,No,1,Neutral,No Comments,Griesbach Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,1,1,250,25,Yes,2,Neutral,No Comments,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,3,0,100,20,No,1,Positive,Love this food drive,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,3,0,100,20,No,1,Positive,Love this food drive,Crawford Plains Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,0 - 30 Minutes,2,2,150,18,No,1,Neutral,No Comments,Forest Heights Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,2,140,50,No,1,Positive,Great irganization,Greenfield Ward
In person,Riverbend Stake Centre,Riverbend Stake,0 - 30 Minutes,1,2,125,28,No,1,Neutral,No Comments,Woodbend Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,130,35,No,1,Positive,It was good.,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,0,130,16,No,1,Negative,We suggest not including this area next year.,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,0,1,2,No,1,Neutral,No Comments,Crawford Plains Ward
via Email,Bonnie Doon Stake Centre,Bonnie Doon Stake,1 Hour - 1.5 Hours,2,2,200,23,No,1,Positive,Have volunteers leave a thank you flyer at homes that donated . Or a magnate ,Forest Heights Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,40,26,Yes,2,Neutral,No Comments,Londonderry Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,0,166,20,No,1,Positive,Ty,Griesbach Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,210,20,No,1,Neutral,No Comments,Ellerslie Ward
In person,Bearspaw Chapel,Riverbend Stake,30 - 60 Minutes,2,2,205,21,No,1,Neutral,No Comments,Rutherford Ward
In person,Londonberry Chapel,Bonnie Doon Stake,2+ Hours,2,0,177,9,No,1,Neutral,No Comments,Clareview Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,4,2,173,17,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bearspaw Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,150,40,No,1,Neutral,No Comments,Southgate Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,2,155,22,No,1,Negative,Area doesn’t have a lot of mailboxes had to place bags under mats not sure if everyone saw them due to change of bags and color as well ,Blackmud Creek Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,200,35,No,1,Neutral,No Comments,Ellerslie Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,0,154,28,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bearspaw Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,128,12,No,1,Neutral,No Comments,Southgate Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,2,230,42,No,1,Neutral,No Comments,Clareview Ward
via Email,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,0,131,20,No,1,Neutral,No Comments,Crawford Plains Ward
In person,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,1,2,100,20,No,1,Neutral,No Comments,Ellerslie Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,3,150,30,No,1,Positive,Awesome!!!,Terwillegar Park Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,3,150,30,No,1,Positive,Awesome!!!,Terwillegar Park Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,1,3,169,20,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Bearspaw Chapel,Gateway Stake,1 Hour - 1.5 Hours,2,2,153,35,No,1,Negative,Was disappointed with the amount of donations received ,Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,150,20,No,1,Neutral,No Comments,Devon Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,151,18,No,1,Negative,"I am in the Married Student Ward, but the route was called Strathcona 3",Southgate Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,0,241,50,No,1,Positive,Good stuff,Silver Berry Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,187,45,No,1,Neutral,No comment ,Rutherford Ward
via Email,Gateway Stake Centre ,Gateway Stake,2+ Hours,2,3,280,48,Yes,2,Neutral,No Comments,Crawford Plains Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,0 - 30 Minutes,2,2,180,15,No,1,Neutral,No Comments,Griesbach Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,1,300,54,No,1,Neutral,No Comments,Clareview Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,1,300,54,No,1,Neutral,No Comments,Clareview Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,2,100,25,No,1,Positive,It was nice.,Wild Rose Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,3,1,230,21,No,1,Neutral,No Comments,Silver Berry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,1,300,55,Yes,2,Neutral,No Comments,Londonderry Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,5,4,286,29,No,1,Neutral,No Comments,Namao Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,4,29,29,No,1,Negative,Route unknown ,Londonderry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,3,90,12,No,1,Neutral,No Comments,Connors Hill Ward
via Email,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,4,1,271,27,Yes,2,Neutral,No Comments,Crawford Plains Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,177,20,No,1,Neutral,No Comments,Londonderry Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,2,242,26,Yes,2,Neutral,No Comments,Rabbit Hill Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,1,3,155,22,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,0,15,15,No,1,Neutral,No Comments,Londonderry Ward
via Email,Gateway Stake Centre ,Gateway Stake,0 - 30 Minutes,2,4,198,33,Yes,2,Neutral,No Comments,Ellerslie Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,75,15,No,1,Positive,"Super fun year to be part of this! 
",Forest Heights Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,2,168,16,No,1,Neutral,No Comments,Silver Berry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,2,25,250,No,1,Neutral,No Comments,Ellerslie Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,0,97,15,No,1,Neutral,"No comment 
",Rutherford Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,2,130,20,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,2,0,200,70,Yes,2,Positive,Friendly people… some not friendly people. Had a lot of fun!,Terwillegar Park Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,6,0,190,26,No,1,Negative,163a ave someone already dropped bags off and 164a someome already picked up the bags,Clareview Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,0,20,24,No,1,Negative,Less people donated than last year,Londonderry Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,1 Hour - 1.5 Hours,2,0,150,33,No,1,Neutral,No Comments,Griesbach Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,1,1,177,18,No,1,Neutral,No Comments,Clareview Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,2,3,16,16,Yes,2,Neutral,No Comments,Londonderry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,3,250,39,No,1,Neutral,No Comments,Forest Heights Ward
In person,Edmonton North Stake Centre,Edmonton North Stake,30 - 60 Minutes,2,0,152,23,No,1,Neutral,No Comments,Namao Ward
In person,Bearspaw Chapel,Gateway Stake,2+ Hours,2,0,200,25,No,1,Neutral,No Comments,Lee Ridge Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,1,174,230,No,1,Negative,The paper bag are bad   Recommendations for recycle bag,Silver Berry Ward
In person,Bearspaw Chapel,Gateway Stake,0 - 30 Minutes,2,2,177,22,No,1,Neutral,No Comments,Blackmud Creek Ward
In person,Riverbend Stake Centre,Riverbend Stake,30 - 60 Minutes,2,2,210,24,No,1,Positive,Should have thank you door knockers to put on where we picked up,Greenfield Ward
In person,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,2,2,120,40,Yes,2,Positive,All good ,Rio Vista Ward
In person,Riverbend Stake Centre,Riverbend Stake,1 Hour - 1.5 Hours,1,1,40,40,No,1,Positive,Great!!,Terwillegar Park Ward
In person,Bearspaw Chapel,Gateway Stake,30 - 60 Minutes,2,3,219,28,Yes,2,Neutral,No Comments,Lee Ridge Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,1,0,200,22,No,1,Positive,We got more than last year,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,2,4,125,33,No,1,Neutral,No Comments,Rio Vista Ward
via Email,Gateway Stake Centre ,Gateway Stake,1 Hour - 1.5 Hours,6,4,250,30,Yes,2,Neutral,No Comments,Silver Berry Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,3,0,200,33,No,1,Negative,"Need data refining- 20,7,6 bags",Clareview Ward
In person,Londonberry Chapel,Bonnie Doon Stake,30 - 60 Minutes,3,0,200,33,No,1,Negative,"Need data refining- 20,7,6 bags",Clareview Ward
In person,Londonberry Chapel,Bonnie Doon Stake,0 - 30 Minutes,2,0,96,7,No,1,Neutral,No Comments,Londonderry Ward
In person,Bonnie Doon Stake Centre,Bonnie Doon Stake,30 - 60 Minutes,2,0,104,13,No,1,Neutral,No Comments,Londonderry Ward
In person,Gateway Stake Centre ,Gateway Stake,30 - 60 Minutes,3,2,123,38,Yes,2,Neutral,No Comments,Crawford Plains Ward
